union.name	village.code	village.name	upzila.name	randomization	randomization arm	comment
gazaria	44	ziadanga	fulchhari	control (traditional micro-credit)	1	eroded
kamarjani	58	khamar kamarjani	gaibandha sadar	control (traditional micro-credit)	1	denial
erendabari	5	dholipatadoa	fulchhari	large credit (with 1 year grace period)	3	eroded
fazlupur	14	chumohon	fulchhari	large credit (with 1 year grace period)	3	denial
fazlupur	17	manikkor	fulchhari	large credit	2	denial
mollarchar	64	hatimara(west)	gaibandha sadar	packaged (asset transfer)	4	eroded
bandaber	83	palerchar	raumari	control (traditional micro-credit)	1	denial
mohanganj	97	nayarchar	char rajibpur	control (traditional micro-credit)	1	denial
rajibpur	102	dholauri	char rajibpur	control (traditional micro-credit)	1	eroded
erendabari	109	north vatiapara	fulchhari	control (traditional micro-credit)	1	added new char
erendabari	118	east vatiapara	fulchhari	large credit	2	added new char
erendabari	119	east zigabari	fulchhari	large credit (with 1 year grace period)	3	added new char
erendabari	120	south zigabari	fulchhari	control (traditional micro-credit)	1	added new char
fazlupur	14	chumohon	fulchhari	large credit (with 1 year grace period)	3	added new char
fazlupur	107	east kabilpur	fulchhari	control (traditional micro-credit)	1	added new char
fazlupur	114	uzaldanga	fulchhari	control (traditional micro-credit)	1	added new char
fazlupur	115	east cochkhali	fulchhari	control (traditional micro-credit)	1	added new char
fazlupur	117	south kabilpur	fulchhari	control (traditional micro-credit)	1	added new char
gazaria	110	north golna	fulchhari	large loan 	2	added new char
haldia	122	char kumarpara	saghatta	control (traditional micro-credit)	1	added new char
haripur	127	char horipur	sundarganj	packaged (asset transfer)	4	added new char
haripur	128	char ragob	sundarganj	control (traditional micro-credit)	1	added new char
kanchipara	116	harudanga	fulchhari	packaged (asset transfer)	4	added new char
mollarchar	108	hashdhora	gaibandha sadar	large credit (with 1 year grace period)	3	added new char
bandaber	111	uttar foluar char	raumari	packaged (asset transfer)	4	added new char
bandaber	123	sonapur	raumari	large credit (with 1 year grace period)	3	added new char
bandaber	125	west foluar char	raumari	control (traditional micro-credit)	1	added new char
bandaber	126	baispara	raumari	large loan 	2	added new char
mohonganj	113	hazipara	char rajibpur	control (traditional micro-credit)	1	added new char
rajibpur	112	modoner char	char rajibpur	large loan 	2	added new char
rajibpur	124	bilpara	char rajibpur	large loan 	2	added new char
kodalkati	121	pakiura	char rajibpur	large credit (with 1 year grace period)	3	added new char
